name, description, ex1, ex2
Account for,to be explaination,,
Act out,express your feeling,,
Act up,cause trouble,,
Allow for,take into consideration,,
Answer for,held responsible for sth,,
Apply for,make a formal request,,
Ask around,to ask multiple people,"I haven't seen your dog, I'm sorry, but I'll ask around in the neighborhood","I'm not sure if my company is hiring, but I'll ask around and find out for you"
Ask someone out,to ask someone on a date,Well? Are you going to ask him out or not?,My husband asked me out on a date seventeen years ago
Back down,withdraw your position,,
Back off,move backward,,
Back out of,withdraw from sth you're agreed to do,,
Back up,move backward,,
Bank on,base your hope on sth,,
Be in control of,to have the power over something,"Everyone thinks that they want to be in control of a business, but it's a lot of work","I need you to be in control of planning the party, but I could probably help you a little bit"
Block off,separate sth,,
Blow off,ignore sth,,
Blow over,calm down,,
Blown away,to be shocked,,
Boil down,to be summarized as,,
Break down,to stop functioning,"It's a terrible day for my car to break down. It's raining, and my phone just died","If you don't take care of your things, they're going to break down faster"
Break even,,,
Break into something,to enter forcibly,I forgot my keys so I had to break into my own house,"If you leave your trash outside, wild animals will break into your trash can"
Break out,to spead,"We were going to go on vacation, and then Covid broke out and we had to cancel it","When the news breaks out about the war, a lot of people are going to protest"
Break something down,to explain something in simple terms,The teacher broke down the lesson so that we could easily understand,
Bring someone/something down,to make someone unhappy or to lower the mood,"I hate to bring down the mood of this party, but the cake just fell off the table and now it's ruined",My coworker just really brings me down. She's always unhappy and complaining about something
Call around,to call different people,"I have some extra tickets to the concert, so I'm going to call around and see id any of my friends want them",
Call back,to return a phone call,My doctor called and left a message. I need to call him back.,
Call for,require,,
Call on,ask someone to do something,,
Call out,denounce,,
Carry over,transfer sth to a later point of time,,
Check up on,see if sth/sb is ok,,
Cheer on,to encourage or support somesone,Let's cheer on our team,"My friend is running a marathon next week, and I'm going to stand at the finish line to cheer her on."
Cheer up,to say or do something to make someone happy,I brought you these flowers to cheer you up.,
Clean up,to tidy something,Do you clean up your house at the end of the day?,
Come across as,to give a specific impression,"If you don't want to come across as rude, you should smile when you meet people.","I want to come across as professional, so I'm going to wear my best suit to the interview."
Come after,Pursue,,
Come apart,to separate / fall down / break down,I put my favorite sweater in the washer and now it's coming apart.,"Be careful with that old book, it's coming apart and the pages might fall out."
